"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","162.247.241.2","192.168.29.21","TLSv1.2","688","Application Data, Application Data"
"2","0.042227","192.168.29.21","162.247.241.2","TCP","54","50731  >  443 [ACK] Seq=1 Ack=635 Win=509 Len=0"
"3","0.265200","192.168.29.21","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.251 for any sources / Join group 239.255.255.250 for any sources"
"4","0.297275","192.168.29.21","23.37.240.161","TCP","54","51781  >  80 [FIN, ACK] Seq=1 Ack=1 Win=252 Len=0"
"5","0.306929","23.37.240.161","192.168.29.21","TCP","54","80  >  51781 [RST, ACK] Seq=1 Ack=2 Win=252 Len=0"
"6","1.124776","13.107.42.14","192.168.29.21","TLSv1.2","100","Application Data"
"7","1.128244","192.168.29.21","13.107.42.14","TLSv1.2","96","Application Data"
"8","1.128891","192.168.29.21","13.107.42.14","TLSv1.2","96","Application Data"
"9","1.135174","13.107.42.14","192.168.29.21","TCP","54","443  >  50891 [ACK] Seq=47 Ack=85 Win=16382 Len=0"
"10","1.271258","192.168.29.21","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.102.18 for any sources"
"11","1.415021","192.168.29.21","192.168.29.240","TCP","164","51815  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=252 Len=110 [TCP PDU reassembled in 1054]"
"12","1.415066","192.168.29.21","192.168.29.240","TCP","164","50730  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=252 Len=110 [TCP PDU reassembled in 1052]"
"13","1.415224","192.168.29.21","192.168.29.240","TCP","164","52208  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=110 [TCP PDU reassembled in 199]"
"14","1.427657","192.168.29.240","192.168.29.21","TCP","164","8009  >  51815 [PSH, ACK] Seq=1 Ack=111 Win=1506 Len=110 [TCP PDU reassembled in 195]"
"15","1.427657","192.168.29.240","192.168.29.21","TCP","164","8009  >  50730 [PSH, ACK] Seq=1 Ack=111 Win=1552 Len=110 [TCP PDU reassembled in 172]"
